Subscribed	Location	Company
17/03/2025 12:21	Netherlands	STFC Hartree centre
17/03/2025 12:21	United States	Cambridge University Hospitals
17/03/2025 12:21	Netherlands	University of Warwick
17/03/2025 12:21	United Kingdom	University of East Anglia
17/03/2025 12:21	United Kingdom	DHSC
17/03/2025 12:21	United Kingdom	AstraZeneca
17/03/2025 12:21	United Kingdom	TSL
17/03/2025 12:21	Netherlands	Jisc
17/03/2025 12:21	France	University of Greenwich
17/03/2025 12:21	United Kingdom	University of Exeter
17/03/2025 12:21	Netherlands	UCL
17/03/2025 12:21	Ireland	Earlham Institute
17/03/2025 12:21	Ireland	University of Dundee
17/03/2025 12:21	Australia	Australian Research Data Commons
17/03/2025 12:21	United Kingdom	ukri
17/03/2025 12:21	United Kingdom	MHRA
17/03/2025 12:21	United Kingdom	Quantum
17/03/2025 12:21	United Kingdom	TitanDx
17/03/2025 12:21	United States	Research Space
17/03/2025 12:21	United Kingdom	Esox Biologics
17/03/2025 12:21	United Kingdom	Cardiff University
17/03/2025 12:21	United Kingdom	Curlew Research
17/03/2025 12:21	United Kingdom	UKRI
17/03/2025 12:21	Ireland	UCL
17/03/2025 12:21	United States	University of Nottingham
17/03/2025 12:21		University of Birmingham
17/03/2025 12:21	United Kingdom	University of Dundee
17/03/2025 12:21	United Kingdom	EMBL-EBI
17/03/2025 12:21	Spain	UCL
17/03/2025 12:21	United Kingdom	EI
17/03/2025 12:21	United Kingdom	OLS
17/03/2025 12:21	Netherlands	Earlham Institute
17/03/2025 12:21	United Kingdom	University of Oxford
17/03/2025 12:21	United Kingdom	University of Cambridge
17/03/2025 12:21	Netherlands	University of Leicester
17/03/2025 12:21	United Kingdom	London School of Hygiene & Tropical Medicine
17/03/2025 12:21	Netherlands	STFC
17/03/2025 12:21	Ireland	University of Edinburgh
17/03/2025 12:21	United Kingdom	University of Bradford
17/03/2025 12:21	United Kingdom	STFC
17/03/2025 12:21	United Kingdom	University of Bristol
17/03/2025 12:21	United Kingdom	University of Manchester
17/03/2025 12:21	United Kingdom	Opalescent
17/03/2025 11:57	United Kingdom	
